Variável,Pontual,Estatística t,Simbologia
Preço de soja,9894.47,0.68,
Preço de milho,-16909.8,-0.85,
Preço de cana-de-açúcar,40212.66,2.19,
Preço de outras culturas,-0.19,-0.51,
Preço de produtos florestais,-33198,-2.09,
Preço da terra,-268.26,-0.24,
Preço do trabalho,-1020.26,-3.31,
Temperatura Dez-Jan-Fev,-31752.74,-3.8,
Temperatura Mar-Abr-Mai,35987.36,3.59,
Temperatura Jun-Jul-Ago,-14920.47,-1.99,
Temperatura Set-Out-Nov,4685.87,0.69,
Precipitação Dez-Jan-Fev,-133.71,-1.12,
Precipitação Mar-Abr-Mai,176.81,1.44,
Precipitação Jun-Jul-Ago,-81.37,-0.69,
Precipitação Set-Out-Nov,64.61,0.51,
Área total,0,1.53,
Valor médio da variável dependente na vizinhança,0.05,1.7,
Constante,171399,2.34,
